Age (Ma),CO2 (ppm)
196.1,1204
211.9,1264
223.3,800
142.2,560
242.1,284
211.9,667
4,80
8.4,133
13.7,133
53.5,80
106.8,600
55.5,328
56.5,428
303,588
344.9,524
7.7,292
10.6,448
7.1,468
55.5,100
56.5,100
69.1,60
7,148
9,204
13,296
13,176
285.6,70
303,250
327.1,290
327.1,210
332.6,320
338.8,190
365.6,395
365.6,600
423.3,1680
5,324
21,312
25.6,588
45,780
60.7,0
69.1,328
69.1,172
69.1,252
77.9,1180
77.9,504
119.7,904
119.7,1084
119.7,1076
119.7,592
154.7,1272
187.7,1824
172.2,768
223.3,660
223.3,732
223.3,1140
242.1,244
259.4,400
290.5,0
303,608
344.8,824
388,624
130.1,1150
134.3,653
365.6,1140
365.6,1260
402.6,1320
421.1,1440
377.5,1120
385.2,1560
54.2,814
54.9,231
56.2,461
56.5,487
56.7,579
57.3,816
57.7,474
200.3,992
223.3,900
130.1,112
64.8,400
65.3,340
65.9,300
67.2,560
67.2,300
77.1,480
65.2,178
65.2,163
65.4,88
65.6,111
65.8,178
65.9,54
66.1,183
66.2,277
66.4,90
66.5,0
66.5,42
66.6,15
66.6,263
66.7,453
66.9,426
66.9,265
67,219
67,128
68.5,10
68.7,171
68.8,110
69,158
69.1,138
69.3,202
69.4,145
69.5,345
69.7,204
69.9,309
70,375
70.1,329
70.2,122
70.3,38
70.5,126
71.4,254
71.5,289
71.6,294
280.7,133
273.7,133
83.3,740
182.4,1113
232.7,585
242.1,605
279.4,358
219,880
219,695
232.7,116
246.1,580
246.1,300
92.2,772
300.2,882
299.9,697
299.7,399
298.6,515
297.9,288
296.6,65
295.9,47
294.3,50
293.1,208
290.5,600
290.5,461
290.4,1700
290.4,419
290.2,411
289.9,620
289.4,182
288.9,183
287.4,397
287,1030
286.9,1449
285.8,774
285,792
284.8,792
284.5,824
283.8,1012
283.4,1100
282.4,899
281.1,1248
277.6,1237
210.7,111
211.8,544
211.8,643
210.7,13
210.7,45
210.7,372
211.8,1667
211.8,1702
211.8,1596
210.7,344
210.7,269
210.7,377
211.8,1443
211.8,1191
211.8,1349
211.8,1678
211.8,1295
211.8,1516
210.7,560
211.8,1367
205.4,1777
205.4,1702
205.4,1085
205.4,1191
205.4,863
205.4,661
205.4,1030
205.4,513
205.4,623
205.4,1557
205.4,1202
205.4,1967
205.4,1783
205.4,880
205.4,843
205.4,1619
205.4,1214
205.4,614
205.4,1267
205.4,773
205.4,341
205.4,961
205.4,1171
12.8,273
13.1,370
13.8,190
14.4,132
14.7,74
15.1,182
15.6,473
16,333
16.1,289
95.3,1307
113.4,591
200.4,1664
200.5,2087
200.9,3515
200.9,3294
200.9,1299
201,1571
201.1,2472
201.1,1761
201.2,2307
201.2,2009
201.2,2438
201.2,2677
201.2,2700
201.2,2713
201.2,2823
201.3,2302
201.3,2385
201.4,2389
201.5,2819
201.5,2956
201.5,710
201.7,1191
201.8,1495
201.9,1502
202.1,1509
202.2,1065
202.5,1613
203,1487
203.1,1298
203.6,1021
203.7,1855
203.9,983
211.9,1183
211.9,1135
211.9,1479
211.9,1376
205,1377
201.3,3457
201.2,2049
200.8,1499
200.8,3649
200.8,1987
200.8,2353
200.8,2927
200.8,3012
200.7,2383
200.7,1818
200.7,2013
200.7,1874
200.7,2303
200.7,1992
200.6,2048
200.6,1545
200.6,2187
